index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 17.2, Co: 2.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 16, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 28, Somg: 19.6, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 29, Somg: 17.9, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 47, Somg: 36.1, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 59, Somg: 64.4, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 67, Somg: 73.8, Co: 3.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 65, Somg: 80.5, Co: 3.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 62, Somg: 70.1, Co: 5.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 64, Somg: 59.4, Co: 5.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 61, Somg: 55.2, Co: 5, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 59, Somg: 56.7, Co: 5.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 58, Somg: 54.6, Co: 5, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 57, Somg: 49.8, Co: 5, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 57, Somg: 45.1, Co: 4.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 56, Somg: 44.9, Co: 4.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 55, Somg: 41.9, Co: 4.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 53, Somg: 38.8, Co: 4.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 51, Somg: 39.4, Co: 4.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 50, Somg: 34.5, Co: 4.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 48, Somg: 33, Co: 4.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 49, Somg: 32.2, Co: 4.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 48, Somg: 31.9, Co: 4.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 48, Somg: 31.2, Co: 4.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 48, Somg: 31.8, Co: 4.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 46, Somg: 29.3, Co: 4, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 45, Somg: 28.7, Co: 3.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 45, Somg: 27.2, Co: 3.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 44, Somg: 24.9, Co: 3.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 44, Somg: 28.8, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 43, Somg: 28, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 43, Somg: 27.6, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 43, Somg: 26.2, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 43, Somg: 27.1, Co: 3.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 42, Somg: 27, Co: 3.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 41, Somg: 24.4, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 40, Somg: 24.7, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 40, Somg: 23.9, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 39, Somg: 22.9, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 38, Somg: 22.6, Co: 3.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 38, Somg: 22, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 39, Somg: 22.4, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 37, Somg: 21.6, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 37, Somg: 21.4, Co: 3.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 37, Somg: 21.6, Co: 3.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 36, Somg: 20.9, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 37, Somg: 20.7, Co: 3.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 36, Somg: 20.6, Co: 3.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 36, Somg: 21.9, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 34, Somg: 21.1, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 35, Somg: 20.4, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 35, Somg: 20.4, Co: 3.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 34, Somg: 19.9, Co: 3.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 34, Somg: 19.6, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 33, Somg: 20.3, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 34, Somg: 19.9, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 34, Somg: 19.2, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 33, Somg: 19, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 34, Somg: 19.4, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 33, Somg: 19, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 32, Somg: 19.1, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 32, Somg: 18.8, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 32, Somg: 18.8, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 32, Somg: 18.8, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 33, Somg: 18.4, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 32, Somg: 17.3, Co: 3.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 31, Somg: 19, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 31, Somg: 19.3, Co: 3.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 32, Somg: 19.1, Co: 3.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 32, Somg: 19.1, Co: 3.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 34, Somg: 18.1, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 33, Somg: 23.6, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 31, Somg: 21.8, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 30, Somg: 18.9, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 17.2, Co: 2.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 29, Hum: 30, Somg: 16.3, Co: 2.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 28, Somg: 16.2, Co: 3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 15.9, Co: 3.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 15.4, Co: 3.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 15.3, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 15.4, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 15.3, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 16.1, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 15.9, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 15.2, Co: 3.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 30, Somg: 17.2, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 29, Somg: 16.2, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 30, Somg: 15, Co: 3.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 31, Somg: 16.7, Co: 3.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 31, Somg: 18.4, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 30, Somg: 18.6, Co: 3.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 30, Somg: 19.5, Co: 3.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 30, Somg: 19.9, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 31, Somg: 19.4, Co: 3.3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 31, Somg: 19.5, Co: 3.2, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 28, Somg: 16.7, Co: 3.1, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 26, Somg: 14.8, Co: 3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 26, Somg: 15.3, Co: 3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 28, Somg: 17.2, Co: 3, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 27, Somg: 16.1, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 27, Somg: 15.7, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 26, Somg: 17, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 28, Somg: 17.5, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 29, Somg: 18.5, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 30, Somg: 18.4, Co: 2.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 30, Somg: 19.7, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 30, Somg: 20, Co: 3, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 30, Somg: 19, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 30, Somg: 19.7, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 30, Somg: 18.4, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 30, Somg: 18.2, Co: 2.9, Mode: 0, …}
index.js? [sm]:126 {Temp: 28, Hum: 30, Somg: 17.6, Co: 2.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 28, Somg: 17, Co: 2.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 27, Hum: 29, Somg: 17.5, Co: 2.8, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 16.2, Co: 2.7, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.8, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.6, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 29, Somg: 14.4, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.1, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.2, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 30, Somg: 14.1, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 30, Somg: 13.9, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 14.7, Co: 2.6, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 29, Somg: 13.8, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 25, Hum: 29, Somg: 13.8, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 30, Somg: 13, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 13.6, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 30, Somg: 14.4, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 30, Somg: 13.8, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 30, Somg: 14, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 14.1, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 13.5, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 13.5, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 13.6, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 32, Somg: 13.3, Co: 2.4, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 31, Somg: 14, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 24, Hum: 32, Somg: 13.3, Co: 2.5, Mode: 0, …}
index.js? [sm]:126 {Temp: 23, Hum: 31, Somg: 13.3, Co: 2.4, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 2.6, Co: 2.5, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 2.8, Co: 2.5, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 2.9, Co: 2.4, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 2.8, Co: 2.5, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 31, Somg: 3, Co: 2.7, Mode: 1, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 3.4, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 33, Somg: 3.6, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 33, Somg: 3.7, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 33, Somg: 3.9, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 36, Somg: 3.8, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 35, Somg: 4, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 34, Somg: 4.1, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 4.2, Co: 2.7, Mode: 0, …}
index.js? [sm]:127 {Temp: 22, Hum: 32, Somg: 4.2, Co: 2.7, Mode: 0, …}
