Temp,Hum,Somg,Co,预测等级（0正常/1阴燃/2着火）
37,41,142.5,37.1,2
37,40,140.1,36.9,2
37,40,140.4,37.0,2
38,34,150.5,35.3,2
38,34,149.8,34.7,2
38,32,150.1,34.0,2
38,32,149.8,33.8,2
38,33,150.1,35.2,2
37,33,151.2,35.7,2
38,32,150.5,34.7,2
37,32,150.9,34.7,2
37,32,150.5,35.2,2
37,31,149.4,33.8,2
37,30,147.3,33.2,2
37,30,148.0,32.8,2
37,29,148.7,32.3,2
41,28,147.6,30.5,2
41,25,149.8,32.6,2
42,25,154.2,35.5,2
43,26,144.5,38.4,2
43,24,142.8,39.7,2
43,24,143.5,41.1,2
44,23,143.8,38.6,2
44,22,145.5,39.1,2
44,26,148.4,41.7,2
44,27,145.2,43.1,2
44,24,146.9,43.6,2
45,22,148.7,41.7,2
45,22,148.4,41.1,2
45,20,143.1,39.9,2
45,23,145.9,42.4,2
45,23,146.9,42.6,2
45,21,144.5,41.9,2
45,20,146.2,42.5,2
45,20,147.6,42.4,2
45,20,142.1,41.2,2
45,19,142.8,40.9,2
44,20,142.1,40.4,2
45,22,142.8,41.0,2
44,21,142.8,40.1,2
44,20,142.8,39.2,2
44,19,145.9,38.9,2
44,20,142.1,37.8,2
44,20,141.4,37.6,2
44,20,139.8,37.1,2
41,28,147.6,30.5,2
41,25,149.8,32.6,2
42,25,154.2,35.5,2
43,26,144.5,38.4,2
43,24,142.8,39.7,2
43,24,143.5,41.1,2
44,23,143.8,38.6,2
44,22,145.5,39.1,2
44,26,148.4,41.7,2
44,27,145.2,43.1,2
44,24,146.9,43.6,2
45,22,148.7,41.7,2
45,22,148.4,41.1,2
45,20,143.1,39.9,2
45,23,145.9,42.4,2
45,23,146.9,42.6,2
45,21,144.5,41.9,2
45,20,146.2,42.5,2
45,20,147.6,42.4,2
45,20,142.1,41.2,2
45,19,142.8,40.9,2
44,20,141.4,37.6,2
44,20,139.8,37.1,2
44,20,134.0,36.5,2
43,20,139.1,36.6,2
43,21,139.8,37.0,2
43,21,141.4,37.1,2
42,20,139.1,36.1,2
42,22,140.4,37.2,2
42,20,138.5,36.8,2
43,21,139.8,36.5,2
42,20,137.8,34.8,2
42,20,138.5,35.0,2
42,20,150.9,35.7,2
40,20,150.5,35.1,2
40,22,137.2,34.3,2
40,22,151.2,35.2,2
40,23,136.2,33.9,2
40,23,149.8,34.9,2
39,23,150.1,34.9,2
40,26,150.5,36.2,2
40,20,143.5,32.6,2
39,21,144.2,32.5,2
39,21,143.1,32.5,2
39,22,143.8,32.5,2
39,23,143.1,32.4,2
39,24,142.5,32.5,2
39,24,141.8,32.6,2
39,24,142.5,32.7,2
40,23,142.1,32.5,2
40,22,142.8,32.5,2
40,26,137.2,33.0,2
40,28,136.8,35.7,2
41,26,139.1,36.9,2
45,22,132.4,37.2,2
46,25,134.6,36.9,2
47,24,134.6,36.9,2
42,28,137.5,36.3,2
43,28,132.1,36.9,2
44,28,134.3,39.4,2
44,26,136.8,41.3,2
44,25,143.5,43.5,2
45,24,144.2,45.1,2
45,22,144.2,45.2,2
45,21,145.9,45.7,2
45,21,146.2,46.3,2
46,20,141.8,46.4,2
46,20,149.1,47.3,2
46,19,145.5,47.4,2
46,18,144.8,46.8,2
46,18,140.8,46.5,2
46,18,145.9,46.4,2
46,18,142.8,46.2,2
46,17,144.8,45.7,2
46,18,140.1,45.6,2
46,18,145.2,46.2,2
46,17,144.8,45.7,2
46,17,146.2,46.1,2
46,17,145.2,46.0,2
46,16,142.5,44.4,2
46,16,135.6,44.4,2
46,16,142.1,43.7,2
46,16,141.1,43.1,2
