index.js? [sm]:128 {Temp: 37, Hum: 41, Somg: 142.5, Co: 37.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 40, Somg: 140.1, Co: 36.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 40, Somg: 140.4, Co: 37, Mode: 0, …}
index.js? [sm]:128 {Temp: 38, Hum: 34, Somg: 150.5, Co: 35.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 38, Hum: 34, Somg: 149.8, Co: 34.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 38, Hum: 32, Somg: 150.1, Co: 34, Mode: 0, …}
index.js? [sm]:128 {Temp: 38, Hum: 32, Somg: 149.8, Co: 33.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 38, Hum: 33, Somg: 150.1, Co: 35.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 33, Somg: 151.2, Co: 35.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 38, Hum: 32, Somg: 150.5, Co: 34.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 32, Somg: 150.9, Co: 34.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 32, Somg: 150.5, Co: 35.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 31, Somg: 149.4, Co: 33.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 30, Somg: 147.3, Co: 33.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 30, Somg: 148, Co: 32.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 37, Hum: 29, Somg: 148.7, Co: 32.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 41, Hum: 28, Somg: 147.6, Co: 30.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 41, Hum: 25, Somg: 149.8, Co: 32.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 42, Hum: 25, Somg: 154.2, Co: 35.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 43, Hum: 26, Somg: 144.5, Co: 38.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 43, Hum: 24, Somg: 142.8, Co: 39.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 43, Hum: 24, Somg: 143.5, Co: 41.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 23, Somg: 143.8, Co: 38.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 22, Somg: 145.5, Co: 39.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 26, Somg: 148.4, Co: 41.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 27, Somg: 145.2, Co: 43.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 24, Somg: 146.9, Co: 43.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 22, Somg: 148.7, Co: 41.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 22, Somg: 148.4, Co: 41.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 20, Somg: 143.1, Co: 39.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 23, Somg: 145.9, Co: 42.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 23, Somg: 146.9, Co: 42.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 21, Somg: 144.5, Co: 41.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 20, Somg: 146.2, Co: 42.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 20, Somg: 147.6, Co: 42.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 20, Somg: 142.1, Co: 41.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 19, Somg: 142.8, Co: 40.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 20, Somg: 142.1, Co: 40.4, Mode: 0, …}
index.js? [sm]:128 {Temp: 45, Hum: 22, Somg: 142.8, Co: 41, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 21, Somg: 142.8, Co: 40.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 20, Somg: 142.8, Co: 39.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 19, Somg: 145.9, Co: 38.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 44, Hum: 20, Somg: 142.1, Co: 37.8, Mode: 0, …}
