index.js? [sm]:128 {Temp: 32, Hum: 40, Somg: 87.3, Co: 11.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 40, Somg: 91.4, Co: 11.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 40, Somg: 97.3, Co: 14.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 40, Somg: 100.3, Co: 14.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 40, Somg: 106.2, Co: 17, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 41, Somg: 109.6, Co: 17.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 41, Somg: 112.6, Co: 17.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 41, Somg: 116.8, Co: 18.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 32, Hum: 41, Somg: 120.4, Co: 18.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 42, Somg: 123.2, Co: 19.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 124.3, Co: 20.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 127.2, Co: 20.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 128.7, Co: 21.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 131.5, Co: 21.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 133.3, Co: 22.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 134, Co: 23.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 136.8, Co: 24.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 136.8, Co: 24, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 137.2, Co: 24.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 139.1, Co: 24.8, Mode: 0, …}
index.js? [sm]:128 {Temp: 33, Hum: 41, Somg: 140.4, Co: 25.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 34, Hum: 42, Somg: 149.4, Co: 33, Mode: 0, …}
index.js? [sm]:128 {Temp: 34, Hum: 42, Somg: 152, Co: 33.3, Mode: 0, …}
index.js? [sm]:128 {Temp: 34, Hum: 41, Somg: 151.6, Co: 33.6, Mode: 0, …}
index.js? [sm]:128 {Temp: 35, Hum: 41, Somg: 151.2, Co: 33.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 35, Hum: 40, Somg: 153.4, Co: 34.5, Mode: 0, …}
index.js? [sm]:128 {Temp: 36, Hum: 41, Somg: 138.5, Co: 34.2, Mode: 0, …}
index.js? [sm]:128 {Temp: 36, Hum: 41, Somg: 153.1, Co: 35.7, Mode: 0, …}
index.js? [sm]:128 {Temp: 36, Hum: 40, Somg: 139.1, Co: 34.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 36, Hum: 40, Somg: 139.1, Co: 34.9, Mode: 0, …}
index.js? [sm]:128 {Temp: 36, Hum: 40, Somg: 138.8, Co: 36.1, Mode: 0, …}
index.js? [sm]:128 {Temp: 36, Hum: 41, Somg: 139.4, Co: 36.8, Mode: 0, …}
